RAÇA,PREÇO MÍNIMO (R$),PREÇO MÁXIMO (R$),TIPO
Abissínio,—,—,Gato
Afghan Hound,1200,2000,Cachorro
Airedale Terrier,1000,2000,Cachorro
Akita,1500,3000,Cachorro
Akita Americano,1500,3000,Cachorro
American Pit Bull Terrier,1000,2000,Cachorro
American Shorthair,1000,3000,Gato
American Staffordshire Terrier,1500,5000,Cachorro
Angorá,—,—,Gato
Australian Cattle Dog,1000,2500,Cachorro
Australian Shepherd,2000,6000,Cachorro
Azul Russo,—,—,Gato
Basenji,1000,3000,Cachorro
Basset Hound,1500,4000,Cachorro
Beagle,800,2500,Cachorro
Beauceron,1500,3500,Cachorro
Bengal,1200,6000,Gato
Bernese Mountain Dog,2500,5000,Cachorro
Bichon Frisé,1000,2000,Cachorro
Bichon Havanês,2000,3500,Cachorro
Bloodhound,2000,3000,Cachorro
Border Collie,1000,2500,Cachorro
Borzoi,1500,3000,Cachorro
Boston Terrier,3500,6000,Cachorro
Bouvier de Flandres,2000,3500,Cachorro
Boxer,1500,3500,Cachorro
Braco Alemão de Pelo Curto,1200,2500,Cachorro
Brazilian Shorthair,1000,2000,Gato
British Shorthair,4000,8000,Gato
Buldogue Campeiro,1500,3000,Cachorro
Buldogue Francês,2500,9000,Cachorro
Bull Terrier,1500,2000,Cachorro
Bulldog Americano,2000,3000,Cachorro
Bulldog Inglês,2500,8000,Cachorro
Bulmastiff,2000,3500,Cachorro
Burmese,—,—,Gato
Cairn Terrier,1500,3000,Cachorro
Cane Corso Italiano,1500,4000,Cachorro
Cavalier King Charles Spaniel,3500,6500,Cachorro
Chartreux,—,—,Gato
Chihuahua,1200,8000,Cachorro
Chinese Crested Dog,2000,4000,Cachorro
Chow Chow,2000,4000,Cachorro
Cocker Spaniel Americano,2000,5000,Cachorro
Cocker Spaniel Inglês,1200,4500,Cachorro
Collie,1500,3000,Cachorro
Cornish Rex,1000,2000,Gato
Dachshund (Teckel),1000,2500,Cachorro
Dálmata,1200,2000,Cachorro
Devon Rex,—,—,Gato
Dobermann,1200,4500,Cachorro
Dogo Argentino,1200,4000,Cachorro
Dogue Alemão,2000,5000,Cachorro
Dogue de Bordeaux,1500,4500,Cachorro
Egyptian Mau,—,—,Gato
European Shorthair,—,—,Gato
Exótico,1000,2000,Gato
Fila Brasileiro,1200,3000,Cachorro
Fox Terrier Pelo Duro,1500,4500,Cachorro
Fox Terrier Pelo Liso,1200,4000,Cachorro
Golden Retriever,1200,4500,Cachorro
Greyhound,1200,2500,Cachorro
Himalaio,1000,2000,Gato
Husky Siberiano,800,1500,Cachorro
Jack Russell Terrier,2000,4000,Cachorro
Keeshond,1500,2500,Cachorro
Kerry Blue Terrier,—,—,Cachorro
Komondor,2000,3500,Cachorro
Kuvasz,2000,5000,Cachorro
Lhasa Apso,800,2000,Cachorro
Maine Coon,2000,6000,Gato
Maltês,1200,4500,Cachorro
Mastiff,3500,6000,Cachorro
Mastino Napoletano,2500,4000,Cachorro
Munchkin,—,—,Gato
Norwegian Forest,—,—,Gato
Old English Sheepdog,1200,3000,Cachorro
Oriental,1000,1500,Gato
Pastor Alemão,1500,5000,Cachorro
Pastor Belga Groenandael,1500,2500,Cachorro
Pastor Belga Malinois,1200,3500,Cachorro
Pastor Belga Tervuren,1500,2500,Cachorro
Pastor Branco Suíço,1000,2000,Cachorro
Pastor de Shetland,1500,4000,Cachorro
Pastor Maremano,2000,3000,Cachorro
Pequinês,1200,3000,Cachorro
Persa,1200,2500,Gato
Pinscher,1200,1500,Cachorro
Pointer Inglês,1000,1500,Cachorro
Poodle Toy,800,2000,Cachorro
Pug,2000,5000,Cachorro
Puli,—,—,Cachorro
Ragdoll,—,—,Gato
Retriever do Labrador,1500,4000,Cachorro
Rhodesian Ridgeback,1500,4000,Cachorro
Rottweiler,2000,7000,Cachorro
Sagrado da Birmânia,1500,4000,Gato
Samoeida,1500,3000,Cachorro
São Bernardo,1500,4500,Cachorro
Savannah,—,—,Gato
Schipperke,1000,4000,Cachorro
Schnauzer Gigante,1500,3500,Cachorro
Schnauzer Miniatura,1000,4000,Cachorro
Schnauzer Standard,800,2000,Cachorro
Scottish Fold,5000,8000,Gato
Scottish Terrier,2000,3000,Cachorro
Setter Inglês,1500,3000,Cachorro
Setter Irlandês,1500,2500,Cachorro
Shar Pei,1500,2000,Cachorro
Shiba,2000,4500,Cachorro
Shih Tzu,800,2500,Cachorro
Siamês,1000,1500,Gato
Skye Terrier,1500,3000,Cachorro
Sphynx,—,—,Gato
Spitz Alemão Anão (Pomerânia),1500,7000,Cachorro
Springer Spaniel Inglês,1500,2500,Cachorro
Terra Nova,2500,5500,Cachorro
Terrier Brasileiro,800,2000,Cachorro
Terrier Tibetano,2000,4000,Cachorro
Weimaraner,1200,3500,Cachorro
Welsh Corgi Cardigan,3000,6000,Cachorro
Welsh Corgi Pembroke,3000,6000,Cachorro
West Highland White Terrier,1500,4000,Cachorro
Whippet,1200,2000,Cachorro
Wolfhound Irlandês,8000,10000,Cachorro
Yorkshire Terrier,1200,5000,Cachorro